Easy,Hard_1,Hard_2,Hard_3
Examen,Examen sorpresa,Examen final,Examen diagnóstico
Lado,Lado oscuro,Lado positivo,Lado izquierdo
Amor,Amor eterno,Amor verdadero,Amor a primera vista
Mente,Mente abierta,Mente brillante,Mente en blanco
Lengua,Lengua materna,Lengua afilada,Lengua de señas
Piel,Piel de gallina,Piel suave,Piel sensible
Cabello,Cabello rizado,Cabello sedoso,Cabello teñido
División,División celular,División de bienes,División de trabajo
Charla,Charla motivacional,Charla informativa,Charla amistosa
Fantasma,Fantasma del pasado,Fantasma aterrador,Fantasma amigable
Valla,Valla publicitaria,Valla de seguridad,Valla de madera
Ventana,Ventana rota,Ventana abierta,Ventana de oportunidades
Taco,Taco de billar,Taco mexicano,Taco de carne
Boda,Boda de plata,Boda real,Boda íntima
Celo,Celo profesional,Celo amoroso,Celo excesivo
Otoño,Otoño dorado,Otoño lluvioso,Otoño melancólico
Esposa,Esposa fiel,Esposa amorosa,Esposa dedicada
Retrete,Retrete sucio,Retrete roto,Retrete portátil
Sol,Sol naciente,Sol radiante,Sol de medianoche
Golf,Golf de campeonato,Golf profesional,Golf en miniatura
Donut,Donut de chocolate,Donut glaseado,Donut relleno
Juguete,Juguete roto,Juguete educativo,Juguete de peluche
Lavado,Lavado en seco,Lavado rápido,Lavado de autos
Caminata,Caminata nocturna,Caminata relajante,Caminata larga
Vacío,Vacío legal,Vacío existencial,Vacío emocional
Correo,Correo electrónico,Correo urgente,Correo postal
Rana,Rana saltarina,Rana verde,Rana gigante
Familia,Familia nuclear,Familia extensa,Familia adoptiva
Cuchara,Cuchara sopera,Cuchara de madera,Cuchara de plata
Sabor,Sabor amargo,Sabor dulce,Sabor intenso
Funeral,Funeral simbólico,Funeral triste,Funeral multitudinario
Oro,Oro macizo,Oro brillante,Oro de 24 quilates
Ballena,Ballena azul,Ballena jorobada,Ballena asesina
Banco,Banco de sangre,Banco central,Banco de madera
Periódico,Periódico local,Periódico antiguo,Periódico digital
Fregadero,Fregadero sucio,Fregadero lleno,Fregadero roto
Frigorífico,Frigorífico vacío,Frigorífico antiguo,Frigorífico lleno
Alto,Alto mando,Alto rendimiento,Alto voltaje
Frito,Frito variado,Frito crujiente,Frito rápido
Guante,Guante de seda,Guante de boxeo,Guante térmico
Sangre,Sangre azul,Sangre fría,Sangre caliente
Fruta,Fruta fresca,Fruta exótica,Fruta madura
Felicidad,Felicidad plena,Felicidad duradera,Felicidad compartida
Sudor,Sudor frío,Sudor abundante,Sudor nervioso
Sombrero,Sombrero de copa,Sombrero de paja,Sombrero elegante
Traje,Traje a medida,Traje de baño,Traje espacial
Voz,Voz interior,Voz suave,Voz fuerte
Maestro,Maestro de ceremonias,Maestro sabio,Maestro de escuela
Cirugía,Cirugía plástica,Cirugía mayor,Cirugía de emergencia
Manivela,Manivela rota,Manivela oxidada,Manivela antigua
Menú,Menú del día,Menú degustación,Menú infantil
Cuchilla,Cuchilla afilada,Cuchilla oxidada,Cuchilla de afeitar
Miga,Miga de pan,Miga de pastel,Miga diminuta
Cumpleaños,Cumpleaños feliz,Cumpleaños sorpresa,Cumpleaños inolvidable
Tarta,Tarta de cumpleaños,Tarta de manzana,Tarta de chocolate
Masa,Masa madre,Masa quebrada,Masa fermentada
Pequeño,Pequeño gigante,Pequeño detalle,Pequeño error
Bar,Bar de tapas,Bar nocturno,Bar de copas
Animal,Animal salvaje,Animal doméstico,Animal en peligro
Manzana,Manzana podrida,Manzana verde,Manzana jugosa
Siesta,Siesta corta,Siesta larga,Siesta reparadora
Dulce,Dulce de leche,Dulce amargo,Dulce casero
Asiento,Asiento reservado,Asiento cómodo,Asiento de ventana
Bolsa,Bolsa de valores,Bolsa de plástico,Bolsa de papel
Bebé,Bebé llorón,Bebé recién nacido,Bebé prematuro
Saco,Saco de dormir,Saco de boxeo,Saco de harina
Círculo,Círculo vicioso,Círculo social,Círculo cerrado
Cierre,Cierre centralizado,Cierre de seguridad,Cierre definitivo
Hormiga,Hormiga trabajadora,Hormiga roja,Hormiga reina
Ensalada,Ensalada mixta,Ensalada verde,Ensalada de frutas
Pastel,Pastel de bodas,Pastel de cumpleaños,Pastel de chocolate
Pájaro,Pájaro carpintero,Pájaro cantor,Pájaro exótico
Caca,Caca de perro,Caca de pájaro,Caca de vaca
Ángel,Ángel guardián,Ángel caído,Ángel de la guarda
Mordisco,Mordisco de amor,Mordisco fuerte,Mordisco de perro
Camino,Camino real,Camino largo,Camino sinuoso
Globo,Globo aerostático,Globo terráqueo,Globo de cumpleaños
Castillo,Castillo medieval,Castillo de arena,Castillo embrujado
Hueso,Hueso roto,Hueso duro,Hueso de pollo
Cámara,Cámara secreta,Cámara de fotos,Cámara de seguridad
Granero,Granero vacío,Granero lleno,Granero antiguo
Masaje,Masaje relajante,Masaje terapéutico,Masaje deportivo
Radio,Radio local,Radio antigua,Radio portátil
Baño,Baño caliente,Baño de burbujas,Baño de vapor
Película,Película de terror,Película romántica,Película de acción
Cachorro,Cachorro de león,Cachorro juguetón,Cachorro de perro
Rebote,Rebote fortuito,Rebote inesperado,Rebote de balón
Cepillo,Cepillo de dientes,Cepillo de pelo,Cepillo de ropa
Almeja,Almeja gigante,Almeja fresca,Almeja cocida
Pepinillo,Pepinillo agridulce,Pepinillo encurtido,Pepinillo crujiente
Consejo,Consejo sabio,Consejo amistoso,Consejo profesional
Caimán,Caimán feroz,Caimán dormido,Caimán americano
Arena,Arena movediza,Arena blanca,Arena fina
Cono,Cono de helado,Cono de tráfico,Cono volcánico
Bomba,Bomba de tiempo,Bomba de agua,Bomba explosiva
Desfile,Desfile militar,Desfile de moda,Desfile festivo
Choque,Choque frontal,Choque inesperado,Choque violento
Bicho,Bicho raro,Bicho pequeño,Bicho de luz
Calabaza,Calabaza de Halloween,Calabaza gigante,Calabaza dulce
Descanso,Descanso eterno,Descanso breve,Descanso reparador
Amigo,Amigo invisible,Amigo cercano,Amigo fiel
Elefante,Elefante africano,Elefante asiático,Elefante de circo
Pregunta,Pregunta capciosa,Pregunta difícil,Pregunta inesperada
Césped,Césped artificial,Césped verde,Césped bien cuidado
Escalera,Escalera mecánica,Escalera de mano,Escalera de incendios
Hecho,Hecho consumado,Hecho interesante,Hecho real
Verano,Verano caluroso,Verano inolvidable,Verano en la playa
Seco,Seco como el polvo,Seco y árido,Seco y agrietado
Conductor,Conductor designado,Conductor novato,Conductor profesional
Garaje,Garaje privado,Garaje subterráneo,Garaje lleno
Mano,Mano amiga,Mano derecha,Mano de obra
Piedra,Piedra filosofal,Piedra preciosa,Piedra angular
Verde,Verde esmeralda,Verde esperanza,Verde oscuro
Sueño,Sueño profundo,Sueño reparador,Sueño lúcido
Globo,Globo aerostático,Globo terráqueo,Globo de cumpleaños
Agua,Agua bendita,Agua potable,Agua salada
Fósil,Fósil viviente,Fósil antiguo,Fósil petrificado
Huevo,Huevo duro,Huevo frito,Huevo revuelto
Parada,Parada obligatoria,Parada de autobús,Parada técnica
Vaso,Vaso roto,Vaso de cristal,Vaso lleno
Verdura,Verdura fresca,Verdura cocida,Verdura orgánica
Mesa,Mesa redonda,Mesa de trabajo,Mesa de comedor
Vacaciones,Vacaciones de verano,Vacaciones inolvidables,Vacaciones en la playa
Ola,Ola gigante,Ola de calor,Ola de frío
Taburete,Taburete alto,Taburete de bar,Taburete de madera
Granja,Granja escuela,Granja de animales,Granja ecológica
Pie,Pie de atleta,Pie grande,Pie plano
Bufanda,Bufanda de lana,Bufanda de seda,Bufanda larga
Fuego,Fuego cruzado,Fuego artificial,Fuego lento
Conducción,Conducción temeraria,Conducción defensiva,Conducción nocturna
Azúcar,Azúcar moreno,Azúcar blanca,Azúcar en polvo
Jarabe,Jarabe de arce,Jarabe para la tos,Jarabe espeso
Mundo,Mundo paralelo,Mundo virtual,Mundo submarino
Tambor,Tambor africano,Tambor rítmico,Tambor metálico
Espada,Espada láser,Espada medieval,Espada samurái
Puño,Puño de hierro,Puño cerrado,Puño americano
Gas,Gas lacrimógeno,Gas natural,Gas venenoso
Sueño,Sueño profundo,Sueño reparador,Sueño lúcido
Derrame,Derrame cerebral,Derrame de petróleo,Derrame de líquido
Dedo,Dedo meñique,Dedo índice,Dedo anular
Suéter,Suéter de lana,Suéter abrigado,Suéter a rayas
Silencio,Silencio absoluto,Silencio incómodo,Silencio sepulcral
Pared,Pared de ladrillo,Pared pintada,Pared divisoria
Fácil,Fácil de entender,Fácil de resolver,Fácil de aprender
Doble,Doble moral,Doble cara,Doble intención
Bajada,Bajada pronunciada,Bajada de precio,Bajada de tensión
Tenedor,Tenedor de oro,Tenedor de postre,Tenedor de madera
Tierra,Tierra fértil,Tierra prometida,Tierra batida
Diente,Diente de león,Diente de ajo,Diente de tiburón
Hámster,Hámster ruso,Hámster dorado,Hámster enano
Banco,Banco de sangre,Banco central,Banco de madera
Sal,Sal marina,Sal de mesa,Sal gruesa
Asado,Asado criollo,Asado a la parrilla,Asado al horno
Carrito,Carrito de compras,Carrito de bebé,Carrito de helados
Chocolate,Chocolate amargo,Chocolate con leche,Chocolate derretido
Galleta,Galleta de avena,Galleta de chocolate,Galleta salada
Burbuja,Burbuja inmobiliaria,Burbuja de jabón,Burbuja financiera
Banda,Banda sonora,Banda de rock,Banda criminal
Arroz,Arroz integral,Arroz con leche,Arroz blanco
Papá,Papá Noel,Papá cariñoso,Papá estricto
Vaca,Vaca lechera,Vaca sagrada,Vaca gordita
Tortita,Tortita de maíz,Tortita americana,Tortita de avena
Suciedad,Suciedad acumulada,Suciedad incrustada,Suciedad visible
Paz,Paz interior,Paz mundial,Paz duradera
Charco,Charco de sangre,Charco de agua,Charco de lodo
Hermano,Hermano mayor,Hermano menor,Hermano gemelo
Botón,Botón de emergencia,Botón rojo,Botón desabrochado
Norte,Norte magnético,Norte geográfico,Norte de Europa
Mantequilla,Mantequilla de maní,Mantequilla derretida,Mantequilla sin sal
Pan,Pan integral,Pan de molde,Pan de centeno
Cerdo,Cerdo ibérico,Cerdo salvaje,Cerdo asado
Cubo,Cubo de Rubik,Cubo de basura,Cubo de hielo
Mariposa,Mariposa monarca,Mariposa nocturna,Mariposa exótica
Tirón,Tirón de orejas,Tirón muscular,Tirón de pelo
Paseo,Paseo marítimo,Paseo matutino,Paseo en bicicleta
Cerebro,Cerebro humano,Cerebro brillante,Cerebro creativo
Niño,Niño prodigio,Niño travieso,Niño pequeño
Autobús,Autobús escolar,Autobús urbano,Autobús turístico
Dormitorio,Dormitorio principal,Dormitorio infantil,Dormitorio compartido
Boliche,Boliche americano,Boliche nocturno,Boliche de barrio
Corte,Corte de pelo,Corte profundo,Corte limpio
Bota,Bota de montaña,Bota de cuero,Bota impermeable
Papa,Papa al horno,Papa frita,Papa rellena
Calendario,Calendario lunar,Calendario escolar,Calendario perpetuo
Reina,Reina de corazones,Reina del baile,Reina de Inglaterra
Batalla,Batalla épica,Batalla campal,Batalla naval
Vela,Vela aromática,Vela encendida,Vela de cumpleaños
Plátano,Plátano maduro,Plátano frito,Plátano verde
Palomitas,Palomitas de maíz,Palomitas dulces,Palomitas saladas
Abeja,Abeja reina,Abeja obrera,Abeja asesina
Raíz,Raíz cuadrada,Raíz profunda,Raíz del problema
Vientre,Vientre plano,Vientre hinchado,Vientre materno
Anillo,Anillo de compromiso,Anillo de oro,Anillo mágico
Mono,Mono araña,Mono capuchino,Mono travieso
Lluvia,Lluvia torrencial,Lluvia de ideas,Lluvia ligera
Luna,Luna llena,Luna nueva,Luna menguante
Habitación,Habitación doble,Habitación oscura,Habitación principal
Taza,Taza de café,Taza rota,Taza medidora
Paleta,Paleta de colores,Paleta de helado,Paleta de pintura
Rosa,Rosa roja,Rosa amarilla,Rosa marchita
Pista,Pista de baile,Pista de aterrizaje,Pista de esquí
Cinco,Cinco estrellas,Cinco sentidos,Cinco minutos
Corto,Corto y preciso,Corto de vista,Corto metraje
Vida,Vida eterna,Vida saludable,Vida feliz
Ketchup,Ketchup de tomate,Ketchup picante,Ketchup dulce
Tren,Tren bala,Tren de carga,Tren nocturno
Zapato,Zapato de tacón,Zapato deportivo,Zapato de cuero
Trampa,Trampa mortal,Trampa para ratones,Trampa astuta
Falda,Falda corta,Falda larga,Falda plisada
Cocina,Cocina moderna,Cocina equipada,Cocina abierta
Basura,Basura orgánica,Basura reciclable,Basura acumulada
Árbol,Árbol genealógico,Árbol frutal,Árbol caído
Calor,Calor abrasador,Calor humano,Calor sofocante
Debajo,Debajo de la cama,Debajo del agua,Debajo de la mesa
Viaje,Viaje espacial,Viaje largo,Viaje inolvidable
Muerte,Muerte súbita,Muerte natural,Muerte trágica
Tortuga,Tortuga marina,Tortuga gigante,Tortuga terrestre
Lametón,Lametón cariñoso,Lametón de perro,Lametón rápido
León,León feroz,León africano,León rugiente
Cebra,Cebra rayada,Cebra africana,Cebra salvaje
Labio,Labio superior,Labio inferior,Labio partido
Mancha,Mancha de vino,Mancha de sangre,Mancha de grasa
Estómago,Estómago vacío,Estómago lleno,Estómago sensible
Tormenta,Tormenta eléctrica,Tormenta de nieve,Tormenta de arena
Zoológico,Zoológico municipal,Zoológico grande,Zoológico exótico
Estudiante,Estudiante universitario,Estudiante aplicado,Estudiante nuevo
Subida,Subida empinada,Subida de precios,Subida de temperatura
Lobo,Lobo feroz,Lobo solitario,Lobo gris
Calle,Calle estrecha,Calle principal,Calle oscura
Tutor,Tutor académico,Tutor legal,Tutor privado
Halcón,Halcón peregrino,Halcón cazador,Halcón entrenado
Equipo,Equipo de fútbol,Equipo de trabajo,Equipo de sonido
Corazón,Corazón roto,Corazón valiente,Corazón de oro
Chicle,Chicle de menta,Chicle pegajoso,Chicle de fresa
Cabeza,Cabeza dura,Cabeza fría,Cabeza pensante
Humo,Humo negro,Humo tóxico,Humo denso
Primero,Primero de la clase,Primero en la fila,Primero en llegar
Ejército,Ejército de tierra,Ejército invencible,Ejército enemigo
Ducha,Ducha caliente,Ducha rápida,Ducha relajante
Hotel,Hotel de lujo,Hotel barato,Hotel céntrico
Casa,Casa embrujada,Casa de campo,Casa de muñecas
Sello,Sello postal,Sello oficial,Sello de calidad
Hambre,Hambre voraz,Hambre mundial,Hambre de conocimientos
Caza,Caza furtiva,Caza mayor,Caza de brujas
Hielo,Hielo seco,Hielo derretido,Hielo fino
Serpiente,Serpiente venenosa,Serpiente de cascabel,Serpiente pitón
Patada,Patada voladora,Patada baja,Patada fuerte
Gamba,Gamba roja,Gamba cocida,Gamba pelada
Calcetines,Calcetines de lana,Calcetines sucios,Calcetines cortos
Madera,Madera noble,Madera tallada,Madera quemada
Playa,Playa paradisíaca,Playa de arena,Playa solitaria
Cadena,Cadena de oro,Cadena perpetua,Cadena alimenticia
Parque,Parque nacional,Parque infantil,Parque de atracciones
Mascota,Mascota fiel,Mascota exótica,Mascota perdida
Cangrejo,Cangrejo ermitaño,Cangrejo de río,Cangrejo gigante
Mercado,Mercado negro,Mercado central,Mercado ambulante
Matrimonio,Matrimonio feliz,Matrimonio joven,Matrimonio arreglado
Muerte,Muerte súbita,Muerte natural,Muerte trágica
Cera,Cera caliente,Cera de abejas,Cera para muebles
Medicina,Medicina alternativa,Medicina natural,Medicina moderna
Fiesta,Fiesta sorpresa,Fiesta de cumpleaños,Fiesta de disfraces
Horno,Horno de leña,Horno eléctrico,Horno caliente
Hombre,Hombre valiente,Hombre sabio,Hombre de negocios
Tapa,Tapa de rosca,Tapa de plástico,Tapa de botella
Magia,Magia negra,Magia blanca,Magia de escenario
Llanto,Llanto desconsolado,Llanto de bebé,Llanto silencioso
Macarrones,Macarrones con queso,Macarrones gratinados,Macarrones al dente
Almuerzo,Almuerzo rápido,Almuerzo ligero,Almuerzo de trabajo
Teléfono,Teléfono móvil,Teléfono fijo,Teléfono roto
Leche,Leche desnatada,Leche fresca,Leche de soja
Baile,Baile de salón,Baile moderno,Baile de graduación
Suerte,Suerte de principiante,Suerte echada,Suerte inesperada
Veneno,Veneno letal,Veneno de serpiente,Veneno invisible
Nido,Nido de pájaro,Nido vacío,Nido de avispas
Zanahoria,Zanahoria rallada,Zanahoria fresca,Zanahoria dulce
Largo,Largo camino,Largo plazo,Largo metraje
Uña,Uña rota,Uña larga,Uña pintada
Puerta,Puerta cerrada,Puerta de emergencia,Puerta automática
Carne,Carne roja,Carne asada,Carne magra
Doctor,Doctor en medicina,Doctor famoso,Doctor de cabecera
Burrito,Burrito mexicano,Burrito de pollo,Burrito vegetariano
Cena,Cena de gala,Cena romántica,Cena rápida
Grieta,Grieta en el suelo,Grieta profunda,Grieta peligrosa
Diamante,Diamante en bruto,Diamante brillante,Diamante caro
Centavo,Centavo perdido,Centavo de cobre,Centavo antiguo
Día,Día soleado,Día festivo,Día agotador
Móvil,Móvil inteligente,Móvil roto,Móvil antiguo
Suciedad,Suciedad acumulada,Suciedad incrustada,Suciedad visible
Dinero,Dinero fácil,Dinero sucio,Dinero falso
Cinturón,Cinturón de seguridad,Cinturón de cuero,Cinturón apretado
Rosa,Rosa roja,Rosa amarilla,Rosa marchita
Fecha,Fecha de nacimiento,Fecha límite,Fecha inolvidable
Barco,Barco velero,Barco hundido,Barco de pesca
Oscuridad,Oscuridad total,Oscuridad profunda,Oscuridad aterradora
Carbón,Carbón vegetal,Carbón activado,Carbón mineral
Ninja,Ninja sigiloso,Ninja veloz,Ninja habilidoso
Ladrillo,Ladrillo rojo,Ladrillo macizo,Ladrillo roto
Computadora,Computadora portátil,Computadora antigua,Computadora rápida
Novia,Novia feliz,Novia nerviosa,Novia perfecta
Pausa,Pausa activa,Pausa prolongada,Pausa breve
Estrella,Estrella fugaz,Estrella de mar,Estrella brillante
Chaqueta,Chaqueta de cuero,Chaqueta abrigada,Chaqueta moderna
Pelea,Pelea callejera,Pelea violenta,Pelea justa
Sopa,Sopa de pollo,Sopa caliente,Sopa de verduras
Tigre,Tigre de bengala,Tigre feroz,Tigre en peligro
Pescado,Pescado fresco,Pescado a la parrilla,Pescado frito
Llama,Llama encendida,Llama ardiente,Llama de fuego
Suavidad,Suavidad extrema,Suavidad de piel,Suavidad de tela
Papel de aluminio,Papel de aluminio arrugado,Papel de aluminio grueso,Papel de aluminio fino
Comida,Comida rápida,Comida casera,Comida chatarra
Perro,Perro guía,Perro guardián,Perro juguetón
Desorden,Desorden mental,Desorden alimenticio,Desorden familiar
Concha,Concha marina,Concha vacía,Concha dura
Hospital,Hospital general,Hospital infantil,Hospital privado
Tarro,Tarro de mermelada,Tarro roto,Tarro vacío
Cuadrado,Cuadrado perfecto,Cuadrado mágico,Cuadrado amarillo
Diez,Diez mandamientos,Diez puntos,Diez minutos
Comienzo,Comienzo difícil,Comienzo prometedor,Comienzo inesperado
Vaqueros,Vaqueros ajustados,Vaqueros desgastados,Vaqueros modernos
Pierna,Pierna rota,Pierna fuerte,Pierna larga
Nieve,Nieve blanca,Nieve fresca,Nieve derretida
Tostada,Tostada quemada,Tostada con mantequilla,Tostada crujiente
Jugo,Jugo natural,Jugo de naranja,Jugo fresco
Fresa,Fresa madura,Fresa dulce,Fresa ácida
Blanco,Blanco nieve,Blanco puro,Blanco roto
Tiburón,Tiburón blanco,Tiburón peligroso,Tiburón martillo
Altura,Altura impresionante,Altura máxima,Altura media
Siete,Siete días,Siete colores,Siete maravillas
Gelatina,Gelatina de fresa,Gelatina transparente,Gelatina espesa
Pulgar,Pulgar arriba,Pulgar roto,Pulgar oponible
Aeropuerto,Aeropuerto internacional,Aeropuerto concurrido,Aeropuerto pequeño
Flor,Flor marchita,Flor colorida,Flor aromática
Cadera,Cadera rota,Cadera ancha,Cadera estrecha
Regazo,Regazo cómodo,Regazo de madre,Regazo acogedor
Escuela,Escuela primaria,Escuela secundaria,Escuela pública
Rodilla,Rodilla hinchada,Rodilla rota,Rodilla flexible
Tierra,Tierra fértil,Tierra prometida,Tierra batida
Salchicha,Salchicha alemana,Salchicha a la parrilla,Salchicha picante
Cuero,Cuero sintético,Cuero natural,Cuero negro
Agujero,Agujero negro,Agujero en la pared,Agujero profundo
Rueda,Rueda pinchada,Rueda dentada,Rueda grande
Limón,Limón ácido,Limón fresco,Limón amarillo
Palo,Palo de escoba,Palo de hockey,Palo largo
Caballo,Caballo de carreras,Caballo salvaje,Caballo blanco
Luz,Luz solar,Luz artificial,Luz tenue
Mosca,Mosca molesta,Mosca de fruta,Mosca rápida
Camisa,Camisa de seda,Camisa de algodón,Camisa de vestir
Hogar,Hogar dulce hogar,Hogar acogedor,Hogar seguro
Secreto,Secreto a voces,Secreto oscuro,Secreto de familia
Isla,Isla desierta,Isla paradisíaca,Isla tropical
Piano,Piano de cola,Piano desafinado,Piano antiguo
Compañero,Compañero de trabajo,Compañero de viaje,Compañero de clase
Pantalones,Pantalones vaqueros,Pantalones cortos,Pantalones ajustados
Tazón,Tazón grande,Tazón de sopa,Tazón de cerámica
Mañana,Mañana soleada,Mañana lluviosa,Mañana fría
Pollo,Pollo asado,Pollo frito,Pollo a la plancha
Plato,Plato hondo,Plato de postre,Plato sucio
Hervor,Hervor lento,Hervor rápido,Hervor suave
Bollo,Bollo de pan,Bollo dulce,Bollo relleno
Picnic,Picnic familiar,Picnic en el parque,Picnic al aire libre
Cuadro,Cuadro famoso,Cuadro pintoresco,Cuadro abstracto
Tiza,Tiza blanca,Tiza de colores,Tiza en polvo
Pasta,Pasta italiana,Pasta al dente,Pasta casera
Fiesta,Fiesta de cumpleaños,Fiesta sorpresa,Fiesta de disfraces
Caja,Caja de cartón,Caja fuerte,Caja pequeña
Palabra fácil,Opción difícil 1,Opción difícil 2,Opción difícil 3
Escuela,Escuela de música,Escuela bilingüe,Escuela de artes
Tijera,Tijera de podar,Tijera de cocina,Tijera afilada
Perro,Perro guardián,Perro de rescate,Perro pastor
Teléfono,Teléfono inalámbrico,Teléfono descompuesto,Teléfono con cámara
Biblioteca,Biblioteca pública,Biblioteca digital,Biblioteca universitaria
Montaña,Montaña nevada,Montaña rocosa,Montaña inaccesible
Aire,Aire acondicionado,Aire fresco,Aire contaminado
Reloj,Reloj de pared,Reloj digital,Reloj de bolsillo
Casa,Casa de campo,Casa en la playa,Casa embrujada
Sombrero,Sombrero de paja,Sombrero elegante,Sombrero desgastado
Ventana,Ventana rota,Ventana de cristal,Ventana grande
Carro,Carro deportivo,Carro viejo,Carro de juguete
Música,Música clásica,Música en vivo,Música instrumental
