Easy,Hard_1,Hard_2,Hard_3
Río,Río caudaloso,Río contaminado,Río tranquilo
Computadora,Computadora portátil,Computadora obsoleta,Computadora rápida
Fotografía,Fotografía en blanco y negro,Fotografía antigua,Fotografía borrosa
Zapato,Zapato de tacón,Zapato cómodo,Zapato de baile
Bosque,Bosque encantado,Bosque denso,Bosque tropical
Mesa,Mesa redonda,Mesa de comedor,Mesa de trabajo
Juego,Juego de mesa,Juego en línea,Juego interactivo
Bicicleta,Bicicleta de montaña,Bicicleta estática,Bicicleta antigua
Ciudad,Ciudad amurallada,Ciudad cosmopolita,Ciudad abandonada
Papel,Papel reciclado,Papel arrugado,Papel de regalo
Comida,Comida rápida,Comida gourmet,Comida vegetariana
Bebida,Bebida energética,Bebida alcohólica,Bebida refrescante
Cielo,Cielo estrellado,Cielo nublado,Cielo despejado
Coche,Coche eléctrico,Coche descapotable,Coche fúnebre
Ojo,Ojo morado,Ojo de pez,Ojo vigilante
Sol,Sol radiante,Sol poniente,Sol abrasador
Puerta,Puerta blindada,Puerta corrediza,Puerta automática
Camisa,Camisa arrugada,Camisa hawaiana,Camisa de fuerza
Gato,Gato negro,Gato callejero,Gato montés
Niño,Niño prodigio,Niño travieso,Niño huérfano
Montaña,Montaña sagrada,Montaña inexplorada,Montaña nevada
Estrella,Estrella fugaz,Estrella de cine,Estrella polar
Llave,Llave maestra,Llave inglesa,Llave perdida
Barco,Barco hundido,Barco a vapor,Barco pesquero
Flor,Flor marchita,Flor exótica,Flor aromática
Silla,Silla reclinable,Silla plegable,Silla ergonómica
Lago,Lago cristalino,Lago salado,Lago helado
Amigo,Amigo imaginario,Amigo inseparable,Amigo por correspondencia
Cama,Cama de hospital,Cama matrimonial,Cama de agua
Llave,Llave maestra,Llave dorada,Llave oxidada
Reina,Reina de corazones,Reina de belleza,Reina del carnaval
Maleta,Maleta de viaje,Maleta rota,Maleta pequeña
Sombrero,Sombrero de copa,Sombrero de ala ancha,Sombrero de paja
Perro,Perro de caza,Perro de servicio,Perro vagabundo
Ojo,Ojo biónico,Ojo avizor,Ojo clínico
Fuego,Fuego controlado,Fuego abrasador,Fuego artificial
Faro,Faro desactivado,Faro en la niebla,Faro abandonado
Mango,Mango maduro,Mango tropical,Mango jugoso
Pelota,Pelota de playa,Pelota desinflada,Pelota de tenis
Luna,Luna llena,Luna menguante,Luna de miel
Campo,Campo de flores,Campo de batalla,Campo magnético
Tijera,Tijera de podar,Tijera de sastre,Tijera afilada
Tren,Tren bala,Tren antiguo,Tren de carga
Caja,Caja fuerte,Caja de sorpresas,Caja de herramientas
Mar,Mar en calma,Mar embravecido,Mar de lágrimas
Lámpara,Lámpara de mesa,Lámpara de pie,Lámpara de aceite
Botella,Botella de vino,Botella rota,Botella de cristal
Sol,Sol radiante,Sol de invierno,Sol poniente
Muelle,Muelle de carga,Muelle oxidado,Muelle de madera
Ajo,Ajo picado,Ajo asado,Ajo en polvo
Barco,Barco pirata,Barco encallado,Barco de vapor
Pez,Pez tropical,Pez dorado,Pez espada
Puente,Puente colgante,Puente de piedra,Puente levadizo
Cielo,Cielo estrellado,Cielo nublado,Cielo despejado
Montaña,Montaña rocosa,Montaña sagrada,Montaña nevada
Bebé,Bebé recién nacido,Bebé llorón,Bebé prematuro
Miel,Miel de abejas,Miel orgánica,Miel cristalizada
Piedra,Piedra preciosa,Piedra filosofal,Piedra caliza
Bosque,Bosque encantado,Bosque tropical,Bosque de coníferas
Ratón,Ratón de laboratorio,Ratón inalámbrico,Ratón asustado
Nube,Nube de tormenta,Nube blanca,Nube de humo
Tiburón,Tiburón blanco,Tiburón martillo,Tiburón peligroso
Cuchillo,Cuchillo afilado,Cuchillo de cocina,Cuchillo de caza
Humo,Humo negro,Humo denso,Humo tóxico
Puerta,Puerta de emergencia,Puerta blindada,Puerta giratoria
Abeja,Abeja reina,Abeja obrera,Abeja zumbadora
Cuerda,Cuerda floja,Cuerda de saltar,Cuerda tensada
Guitarra,Guitarra eléctrica,Guitarra desafinada,Guitarra acústica
Escoba,Escoba voladora,Escoba de bruja,Escoba desgastada
Copa,Copa de vino,Copa rota,Copa dorada
Lago,Lago helado,Lago cristalino,Lago salado
Escalera,Escalera de caracol,Escalera mecánica,Escalera empinada
Bicicleta,Bicicleta de montaña,Bicicleta estática,Bicicleta plegable
Avión,Avión de pasajeros,Avión de carga,Avión supersónico
Juguete,Juguete roto,Juguete de peluche,Juguete educativo
Moneda,Moneda antigua,Moneda de oro,Moneda extranjera
Río,Río caudaloso,Río contaminado,Río de lava
Camión,Camión de bomberos,Camión de carga,Camión cisterna
Helado,Helado de chocolate,Helado derretido,Helado artesanal
Parque,Parque de atracciones,Parque infantil,Parque nacional
Caballo,Caballo salvaje,Caballo de carreras,Caballo blanco
Estadio,Estadio olímpico,Estadio de fútbol,Estadio vacío
Cuchara,Cuchara de plata,Cuchara de madera,Cuchara sopera
Tortuga,Tortuga marina,Tortuga gigante,Tortuga de tierra
Pintura,Pintura abstracta,Pintura al óleo,Pintura rupestre
Piano,Piano de cola,Piano desafinado,Piano antiguo
Cactus,Cactus espinoso,Cactus en flor,Cactus desértico
León,León rugiente,León africano,León enjaulado
Reloj,Reloj de arena,Reloj de pulsera,Reloj solar
Calle,Calle adoquinada,Calle sin salida,Calle concurrida
Bolso,Bolso de mano,Bolso de cuero,Bolso extraviado
Papel,Papel reciclado,Papel arrugado,Papel de regalo
Muñeca,Muñeca de trapo,Muñeca rota,Muñeca antigua
Silla,Silla de ruedas,Silla plegable,Silla ergonómica
Gafas,Gafas de sol,Gafas graduadas,Gafas rotas
Nido,Nido de pájaro,Nido vacío,Nido de avispas
Baile,Baile de salón,Baile moderno,Baile folklórico
Luz,Luz solar,Luz tenue,Luz intermitente
Escuela,Escuela primaria,Escuela secundaria,Escuela bilingüe
Café,Café colombiano,Café expreso,Café descafeinado
Ventana,Ventana abierta,Ventana de aluminio,Ventana sucia
Arco,Arco iris,Arco de triunfo,Arco gótico
Flauta,Flauta travesera,Flauta de pan,Flauta dulce
Cerebro,Cerebro humano,Cerebro reptiliano,Cerebro en desarrollo
Horno,Horno microondas,Horno de leña,Horno industrial
Bola,Bola de cristal,Bola de nieve,Bola de fuego
Regalo,Regalo sorpresa,Regalo envuelto,Regalo de cumpleaños
Piano,Piano de cola,Piano desafinado,Piano antiguo
Árbol,Árbol genealógico,Árbol de Navidad,Árbol frutal
Rana,Rana venenosa,Rana saltarina,Rana verde
Libro,Libro de aventuras,Libro de cocina,Libro antiguo
Sombrilla,Sombrilla de playa,Sombrilla rota,Sombrilla colorida
Gallina,Gallina ponedora,Gallina clueca,Gallina asustada
Teléfono,Teléfono móvil,Teléfono fijo,Teléfono de emergencia
Guitarra,Guitarra eléctrica,Guitarra desafinada,Guitarra acústica
Espada,Espada medieval,Espada afilada,Espada oxidada
Soldado,Soldado raso,Soldado herido,Soldado valiente
Colina,Colina empinada,Colina verde,Colina nevada
Roca,Roca volcánica,Roca sedimentaria,Roca gigante
Cama,Cama de agua,Cama matrimonial,Cama de hospital
Viento,Viento huracanado,Viento suave,Viento del norte
Escultura,Escultura de mármol,Escultura abstracta,Escultura gigante
Jardín,Jardín botánico,Jardín zen,Jardín de infancia
Galleta,Galleta de chocolate,Galleta salada,Galleta crujiente
Tren,Tren de alta velocidad,Tren de mercancías,Tren antiguo
Cepillo,Cepillo de dientes,Cepillo de ropa,Cepillo para el cabello
Agujero,Agujero negro,Agujero en la pared,Agujero profundo
Ajo,Ajo picado,Ajo asado,Ajo en polvo
Árbol,Árbol genealógico,Árbol de Navidad,Árbol frutal
Aula,Aula virtual,Aula de clase,Aula magna
Autopista,Autopista congestionada,Autopista de peaje,Autopista interestatal
Aventura,Aventura submarina,Aventura en la selva,Aventura peligrosa
Banco,Banco de madera,Banco de arena,Banco financiero
Bar,Bar de tapas,Bar clandestino,Bar deportivo
Barra,Barra de chocolate,Barra de seguridad,Barra de pan
Batería,Batería recargable,Batería agotada,Batería de cocina
Bicicleta,Bicicleta de montaña,Bicicleta estática,Bicicleta plegable
Bola,Bola de cristal,Bola de nieve,Bola de fuego
Bolsa,Bolsa de papel,Bolsa de valores,Bolsa de deporte
Bomba,Bomba de agua,Bomba nuclear,Bomba de aire
Botella,Botella de vino,Botella rota,Botella de cristal
Cactus,Cactus espinoso,Cactus en flor,Cactus desértico
Cadena,Cadena de montaje,Cadena perpetua,Cadena de oro
Café,Café colombiano,Café expreso,Café descafeinado
Caja,Caja fuerte,Caja de sorpresas,Caja de herramientas
Camión,Camión de bomberos,Camión de carga,Camión cisterna
Canguro,Canguro saltarín,Canguro con cría,Canguro boxeador
Cañón,Cañón de agua,Cañón de artillería,Cañón profundo
Caramelo,Caramelo de menta,Caramelo pegajoso,Caramelo ácido
Carpa,Carpa de circo,Carpa para eventos,Carpa de pesca
Casa,Casa de campo,Casa en la playa,Casa embrujada
Cebolla,Cebolla caramelizada,Cebolla picada,Cebolla morada
Cerveza,Cerveza artesanal,Cerveza sin alcohol,Cerveza oscura
Cine,Cine de verano,Cine independiente,Cine mudo
Cisne,Cisne negro,Cisne majestuoso,Cisne en el lago
Coche,Coche eléctrico,Coche descapotable,Coche fúnebre
Cocina,Cocina moderna,Cocina rústica,Cocina de gas
Codo,Codo dislocado,Codo enrojecido,Codo fracturado
Colina,Colina empinada,Colina verde,Colina nevada
Columpio,Columpio roto,Columpio de madera,Columpio oxidado
Cometa,Cometa Halley,Cometa de papel,Cometa brillante
Comida,Comida rápida,Comida gourmet,Comida vegetariana
Conejo,Conejo blanco,Conejo de Pascua,Conejo enano
Copa,Copa de vino,Copa rota,Copa dorada
Corazón,Corazón roto,Corazón de piedra,Corazón latiendo
Cuerda,Cuerda floja,Cuerda de saltar,Cuerda tensada
Danza,Danza moderna,Danza clásica,Danza folklórica
Delfín,Delfín saltarín,Delfín rosado,Delfín en cautiverio
Desierto,Desierto de arena,Desierto helado,Desierto árido
Diamante,Diamante en bruto,Diamante tallado,Diamante perdido
Dinosaurio,Dinosaurio carnívoro,Dinosaurio herbívoro,Dinosaurio fosilizado
Disco,Disco de vinilo,Disco duro,Disco de hockey
Doctor,Doctor pediatra,Doctor cirujano,Doctor en emergencias
Ducha,Ducha caliente,Ducha fría,Ducha al aire libre
Elefante,Elefante africano,Elefante asiático,Elefante bebé
Escalera,Escalera de caracol,Escalera mecánica,Escalera empinada
Escoba,Escoba voladora,Escoba de bruja,Escoba desgastada
Escuela,Escuela primaria,Escuela secundaria,Escuela bilingüe
Espejo,Espejo roto,Espejo mágico,Espejo de aumento
Estadio,Estadio olímpico,Estadio de fútbol,Estadio vacío
Estrella,Estrella fugaz,Estrella de cine,Estrella polar
Faro,Faro desactivado,Faro en la niebla,Faro abandonado
Flauta,Flauta travesera,Flauta de pan,Flauta dulce
Flor,Flor marchita,Flor exótica,Flor aromática
Fresa,Fresa madura,Fresa ácida,Fresa con nata
Fuego,Fuego controlado,Fuego abrasador,Fuego artificial
Gallina,Gallina ponedora,Gallina clueca,Gallina asustada
Galleta,Galleta de chocolate,Galleta salada,Galleta crujiente
Gato,Gato negro,Gato callejero,Gato montés
Gira,Gira mundial,Gira de conciertos,Gira de estudios
Gorro,Gorro de lana,Gorro de baño,Gorro de chef
Guitarra,Guitarra eléctrica,Guitarra desafinada,Guitarra acústica
Helado,Helado de chocolate,Helado derretido,Helado artesanal
Hielo,Hielo seco,Hielo derretido,Hielo polar
Horno,Horno microondas,Horno de leña,Horno industrial
Hormiga,Hormiga reina,Hormiga trabajadora,Hormiga voladora
Hospital,Hospital general,Hospital infantil,Hospital veterinario
Hotel,Hotel de lujo,Hotel abandonado,Hotel boutique
Huevos,Huevos revueltos,Huevos fritos,Huevos duros
Jardín,Jardín botánico,Jardín zen,Jardín de infancia
Juguete,Juguete roto,Juguete de peluche,Juguete educativo
Lago,Lago helado,Lago cristalino,Lago salado
León,León rugiente,León africano,León enjaulado
Libro,Libro de aventuras,Libro de cocina,Libro antiguo
Luz,Luz solar,Luz tenue,Luz intermitente
Maíz,Maíz tierno,Maíz transgénico,Maíz desgranado
Mano,Mano fracturada,Mano amiga,Mano sudada
Mar,Mar en calma,Mar embravecido,Mar de lágrimas
Martillo,Martillo neumático,Martillo oxidado,Martillo pesado
Mesa,Mesa redonda,Mesa de comedor,Mesa de trabajo
Montaña,Montaña rocosa,Montaña sagrada,Montaña nevada
Mosca,Mosca doméstica,Mosca en la sopa,Mosca molesta
Muñeca,Muñeca de trapo,Muñeca rota,Muñeca antigua
Navaja,Navaja suiza,Navaja oxidada,Navaja afilada
Nube,Nube de tormenta,Nube blanca,Nube de humo
Ojo,Ojo morado,Ojo de pez,Ojo vigilante
Olivo,Olivo centenario,Olivo joven,Olivo en flor
Oro,Oro macizo,Oro falso,Oro brillante
Pájaro,Pájaro carpintero,Pájaro cantor,Pájaro enjaulado
Pan,Pan integral,Pan sin levadura,Pan tostado
Papaya,Papaya madura,Papaya tropical,Papaya jugosa
Papá,Papá Noel,Papá cariñoso,Papá ausente
Parque,Parque de atracciones,Parque infantil,Parque nacional
Patata,Patata asada,Patata hervida,Patata frita
Pato,Pato mandarín,Pato de goma,Pato silvestre
Pavo,Pavo real,Pavo de Navidad,Pavo salvaje
Pelota,Pelota de playa,Pelota desinflada,Pelota de tenis
Pequeño,Pequeño ratón,Pequeño detalle,Pequeño gigante
Perla,Perla negra,Perla de agua dulce,Perla preciosa
Piedra,Piedra preciosa,Piedra filosofal,Piedra caliza
Pino,Pino nevado,Pino oloroso,Pino alto
Plato,Plato sucio,Plato roto,Plato gourmet
Playa,Playa paradisíaca,Playa concurrida,Playa desierta
Pluma,Pluma de pavo real,Pluma estilográfica,Pluma ligera
Poema,Poema épico,Poema romántico,Poema melancólico
Puente,Puente colgante,Puente de piedra,Puente levadizo
Rana,Rana venenosa,Rana saltarina,Rana verde
Ratón,Ratón de laboratorio,Ratón inalámbrico,Ratón asustado
Regalo,Regalo sorpresa,Regalo envuelto,Regalo de cumpleaños
Reloj,Reloj de arena,Reloj de pulsera,Reloj solar
Río,Río caudaloso,Río contaminado,Río de lava
Roca,Roca volcánica,Roca sedimentaria,Roca gigante
Rosa,Rosa marchita,Rosa roja,Rosa aromática
Sabor,Sabor amargo,Sabor dulce,Sabor picante
Sal,Sal marina,Sal de mesa,Sal sin refinar
Silla,Silla de ruedas,Silla plegable,Silla ergonómica
Sirena,Sirena de mar,Sirena de policía,Sirena en la roca
Sombrero,Sombrero de copa,Sombrero mexicano,Sombrero de paja
Sol,Sol radiante,Sol de invierno,Sol poniente
Sopa,Sopa caliente,Sopa de pollo,Sopa enlatada
Taladro,Taladro manual,Taladro eléctrico,Taladro sin cable
Taza,Taza de té,Taza rota,Taza grande
Teléfono,Teléfono móvil,Teléfono fijo,Teléfono de emergencia
Tenedor,Tenedor de postre,Tenedor de plata,Tenedor de tres puntas
Tiburón,Tiburón blanco,Tiburón martillo,Tiburón peligroso
Tijera,Tijera de podar,Tijera de sastre,Tijera afilada
Tigre,Tigre de Bengala,Tigre blanco,Tigre enjaulado
Toro,Toro bravo,Toro en la arena,Toro mecánico
Tortuga,Tortuga marina,Tortuga gigante,Tortuga de tierra
Tren,Tren bala,Tren antiguo,Tren de carga
Trompeta,Trompeta de oro,Trompeta desafinada,Trompeta resonante
Túnel,Túnel oscuro,Túnel subterráneo,Túnel angosto
Vaca,Vaca lechera,Vaca sagrada,Vaca perdida
Vela,Vela aromática,Vela encendida,Vela de cumpleaños
Ventana,Ventana abierta,Ventana de aluminio,Ventana sucia
Vida,Vida eterna,Vida saludable,Vida secreta
Viento,Viento huracanado,Viento suave,Viento del norte
Zapato,Zapato de charol,Zapato roto,Zapato de tacón
Zorro,Zorro ártico,Zorro astuto,Zorro rojo
Palabra fácil,Opción difícil 1,Opción difícil 2,Opción difícil 3
Agujero,Agujero negro,Agujero en la pared,Agujero profundo
Ajo,Ajo picado,Ajo asado,Ajo en polvo
Árbol,Árbol genealógico,Árbol de Navidad,Árbol frutal
Aula,Aula virtual,Aula de clase,Aula magna
Autopista,Autopista congestionada,Autopista de peaje,Autopista interestatal
Aventura,Aventura submarina,Aventura en la selva,Aventura peligrosa
Banco,Banco de madera,Banco de arena,Banco financiero
Bar,Bar de tapas,Bar clandestino,Bar deportivo
Barra,Barra de chocolate,Barra de seguridad,Barra de pan
Batería,Batería recargable,Batería agotada,Batería de cocina
Bicicleta,Bicicleta de montaña,Bicicleta estática,Bicicleta plegable
Bola,Bola de cristal,Bola de nieve,Bola de fuego
Bolsa,Bolsa de papel,Bolsa de valores,Bolsa de deporte
Bomba,Bomba de agua,Bomba nuclear,Bomba de aire
Botella,Botella de vino,Botella rota,Botella de cristal
Cactus,Cactus espinoso,Cactus en flor,Cactus desértico
Cadena,Cadena de montaje,Cadena perpetua,Cadena de oro
Café,Café colombiano,Café expreso,Café descafeinado
Caja,Caja fuerte,Caja de sorpresas,Caja de herramientas
Camión,Camión de bomberos,Camión de carga,Camión cisterna
Canguro,Canguro saltarín,Canguro con cría,Canguro boxeador
Cañón,Cañón de agua,Cañón de artillería,Cañón profundo
Caramelo,Caramelo de menta,Caramelo pegajoso,Caramelo ácido
Carpa,Carpa de circo,Carpa para eventos,Carpa de pesca
Casa,Casa de campo,Casa en la playa,Casa embrujada
Cebolla,Cebolla caramelizada,Cebolla picada,Cebolla morada
Cerveza,Cerveza artesanal,Cerveza sin alcohol,Cerveza oscura
Cine,Cine de verano,Cine independiente,Cine mudo
Cisne,Cisne negro,Cisne majestuoso,Cisne en el lago
Coche,Coche eléctrico,Coche descapotable,Coche fúnebre
Cocina,Cocina moderna,Cocina rústica,Cocina de gas
Codo,Codo dislocado,Codo enrojecido,Codo fracturado
Colina,Colina empinada,Colina verde,Colina nevada
Columpio,Columpio roto,Columpio de madera,Columpio oxidado
Cometa,Cometa Halley,Cometa de papel,Cometa brillante
Comida,Comida rápida,Comida gourmet,Comida vegetariana
Conejo,Conejo blanco,Conejo de Pascua,Conejo enano
Copa,Copa de vino,Copa rota,Copa dorada
Corazón,Corazón roto,Corazón de piedra,Corazón latiendo
Cuerda,Cuerda floja,Cuerda de saltar,Cuerda tensada
Danza,Danza moderna,Danza clásica,Danza folklórica
Delfín,Delfín saltarín,Delfín rosado,Delfín en cautiverio
Desierto,Desierto de arena,Desierto helado,Desierto árido
Diamante,Diamante en bruto,Diamante tallado,Diamante perdido
Dinosaurio,Dinosaurio carnívoro,Dinosaurio herbívoro,Dinosaurio fosilizado
Disco,Disco de vinilo,Disco duro,Disco de hockey
Doctor,Doctor pediatra,Doctor cirujano,Doctor en emergencias
Ducha,Ducha caliente,Ducha fría,Ducha al aire libre
Elefante,Elefante africano,Elefante asiático,Elefante bebé
Escalera,Escalera de caracol,Escalera mecánica,Escalera empinada
Escoba,Escoba voladora,Escoba de bruja,Escoba desgastada
Escuela,Escuela primaria,Escuela secundaria,Escuela bilingüe
Espejo,Espejo roto,Espejo mágico,Espejo de aumento
Estadio,Estadio olímpico,Estadio de fútbol,Estadio vacío
Estrella,Estrella fugaz,Estrella de cine,Estrella polar
Faro,Faro desactivado,Faro en la niebla,Faro abandonado
Flauta,Flauta travesera,Flauta de pan,Flauta dulce
Flor,Flor marchita,Flor exótica,Flor aromática
Fresa,Fresa madura,Fresa ácida,Fresa con nata
Fuego,Fuego controlado,Fuego abrasador,Fuego artificial
Gallina,Gallina ponedora,Gallina clueca,Gallina asustada
Galleta,Galleta de chocolate,Galleta salada,Galleta crujiente
Gato,Gato negro,Gato callejero,Gato montés
Gira,Gira mundial,Gira de conciertos,Gira de estudios
Gorro,Gorro de lana,Gorro de baño,Gorro de chef
Guitarra,Guitarra eléctrica,Guitarra desafinada,Guitarra acústica
Helado,Helado de chocolate,Helado derretido,Helado artesanal
Hielo,Hielo seco,Hielo derretido,Hielo polar
Horno,Horno microondas,Horno de leña,Horno industrial
Hormiga,Hormiga reina,Hormiga trabajadora,Hormiga voladora
Hospital,Hospital general,Hospital infantil,Hospital veterinario
Hotel,Hotel de lujo,Hotel abandonado,Hotel boutique
Huevos,Huevos revueltos,Huevos fritos,Huevos duros
Jardín,Jardín botánico,Jardín zen,Jardín de infancia
Juguete,Juguete roto,Juguete de peluche,Juguete educativo
Lago,Lago helado,Lago cristalino,Lago salado
León,León rugiente,León africano,León enjaulado
Libro,Libro de aventuras,Libro de cocina,Libro antiguo
Luz,Luz solar,Luz tenue,Luz intermitente
Maíz,Maíz tierno,Maíz transgénico,Maíz desgranado
Mano,Mano fracturada,Mano amiga,Mano sudada
Mar,Mar en calma,Mar embravecido,Mar de lágrimas
Martillo,Martillo neumático,Martillo oxidado,Martillo pesado
Mesa,Mesa redonda,Mesa de comedor,Mesa de trabajo
Montaña,Montaña rocosa,Montaña sagrada,Montaña nevada
Mosca,Mosca doméstica,Mosca en la sopa,Mosca molesta
Muñeca,Muñeca de trapo,Muñeca rota,Muñeca antigua
Navaja,Navaja suiza,Navaja oxidada,Navaja afilada
Nube,Nube de tormenta,Nube blanca,Nube de humo
Ojo,Ojo morado,Ojo de pez,Ojo vigilante
Olivo,Olivo centenario,Olivo joven,Olivo en flor
Oro,Oro macizo,Oro falso,Oro brillante
Pájaro,Pájaro carpintero,Pájaro cantor,Pájaro enjaulado
Pan,Pan integral,Pan sin levadura,Pan tostado
Papaya,Papaya madura,Papaya tropical,Papaya jugosa
Papá,Papá Noel,Papá cariñoso,Papá ausente
Parque,Parque de atracciones,Parque infantil,Parque nacional
Patata,Patata asada,Patata hervida,Patata frita
Pato,Pato mandarín,Pato de goma,Pato silvestre
Pavo,Pavo real,Pavo de Navidad,Pavo salvaje
Pelota,Pelota de playa,Pelota desinflada,Pelota de tenis
Pequeño,Pequeño ratón,Pequeño detalle,Pequeño gigante
Perla,Perla negra,Perla de agua dulce,Perla preciosa
Piedra,Piedra preciosa,Piedra filosofal,Piedra caliza
Pino,Pino nevado,Pino oloroso,Pino alto
Plato,Plato sucio,Plato roto,Plato gourmet
Playa,Playa paradisíaca,Playa concurrida,Playa desierta
Pluma,Pluma de pavo real,Pluma estilográfica,Pluma ligera
Poema,Poema épico,Poema romántico,Poema melancólico
Puente,Puente colgante,Puente de piedra,Puente levadizo
Rana,Rana venenosa,Rana saltarina,Rana verde
Ratón,Ratón de laboratorio,Ratón inalámbrico,Ratón asustado
Regalo,Regalo sorpresa,Regalo envuelto,Regalo de cumpleaños
Reloj,Reloj de arena,Reloj de pulsera,Reloj solar
Río,Río caudaloso,Río contaminado,Río de lava
Roca,Roca volcánica,Roca sedimentaria,Roca gigante